positive_ratings,owners,average_playtime,median_playtime,price
84,75000.0,0,0,6.99
64,35000.0,91,173,6.99
79,150000.0,97,194,4.79
77,75000.0,0,0,15.49
88,150000.0,14,28,4.79
48,750000.0,6,8,4.79
94,750000.0,58,94,7.19
87,3500000.0,660,400,7.19
71,1500000.0,141,221,4.79
65,750000.0,30,30,2.09
89,1500000.0,99,101,4.79
69,35000.0,0,0,4.79
37,750000.0,2,2,15.49
62,1500000.0,195,175,15.49
92,750000.0,243,266,15.49
73,75000.0,0,0,15.49
94,350000.0,0,0,7.19
94,1500000.0,395,219,15.49
58,1500000.0,249,365,15.49
85,350000.0,196,294,15.49
58,10000.0,0,0,14.99
90,35000.0,0,0,3.99
86,35000.0,0,0,3.99
91,35000.0,0,0,6.99
80,35000.0,0,0,6.99
74,10000.0,0,0,14.99
91,35000.0,0,0,0.0
90,35000.0,0,0,0.0
77,35000.0,0,0,6.99
73,35000.0,0,0,6.99
63,35000.0,0,0,6.99
80,35000.0,0,0,6.99
85,35000.0,0,0,6.99
87,35000.0,0,0,6.99
87,10000.0,0,0,14.99
63,75000.0,0,0,13.99
89,350000.0,0,0,3.99
65,350000.0,0,0,3.99
92,350000.0,169,169,3.99
84,150000.0,137,137,3.99
77,150000.0,247,247,7.19
84,1500000.0,1046,1323,8.59
66,350000.0,328,328,8.59
78,10000.0,0,0,8.59
64,350000.0,358,399,8.59
87,350000.0,0,0,5.99
77,150000.0,149,149,3.99
89,350000.0,1330,1428,4.99
52,150000.0,9,9,4.99
78,35000.0,0,0,3.99
88,75000.0,0,0,4.99
75,10000.0,0,0,4.99
55,150000.0,2486,2486,9.99
91,75000.0,466,466,3.99
20,10000.0,0,0,4.99
80,75000.0,0,0,14.99
55,10000.0,0,0,14.99
82,1500000.0,752,1263,7.99
92,3500000.0,8488,1120,11.99
72,150000.0,0,0,3.99
61,35000.0,0,0,8.99
49,35000.0,0,0,9.99
79,750000.0,267,214,9.99
90,3500000.0,1251,1534,0.0
78,350000.0,759,859,4.99
86,150000.0,2,2,4.99
49,75000.0,0,0,3.99
81,35000.0,0,0,11.99
73,350000.0,319,589,5.99
75,10000.0,0,0,6.99
84,10000.0,0,0,6.99
66,35000.0,0,0,3.99
75,35000.0,0,0,2.99
78,150000.0,25,25,4.99
55,1500000.0,113,123,5.99
71,1500000.0,234,228,6.99
77,350000.0,257,276,0.79
24,75000.0,28,28,6.99
85,350000.0,27,53,7.99
67,75000.0,0,0,2.99
91,750000.0,42,57,7.99
95,3500000.0,569,545,14.99
73,75000.0,0,0,9.99
67,35000.0,0,0,6.99
83,75000.0,0,0,10.99
92,3500000.0,771,269,14.99
74,350000.0,14,14,6.99
77,350000.0,53,57,7.99
54,35000.0,0,0,3.99
95,1500000.0,314,304,9.99
95,3500000.0,421,319,13.99
85,75000.0,0,0,0.0
62,75000.0,160,160,3.99
95,10000.0,0,0,3.99
80,10000.0,0,0,10.99
71,10000.0,0,0,10.99
78,10000.0,0,0,3.49
100,10000.0,0,0,4.99
72,10000.0,0,0,4.99
91,10000.0,0,0,4.99
57,10000.0,0,0,4.99
0,10000.0,0,0,6.99
27,10000.0,0,0,6.99
82,150000.0,27,34,6.99
64,35000.0,0,0,6.99
73,150000.0,0,0,9.99
70,35000.0,0,0,3.99
68,10000.0,0,0,7.49
75,10000.0,0,0,7.49
86,10000.0,0,0,7.49
28,10000.0,0,0,7.49
94,10000.0,38,38,7.49
100,10000.0,0,0,10.99
81,10000.0,0,0,7.49
61,10000.0,0,0,6.99
28,10000.0,0,0,4.99
40,10000.0,0,0,4.99
75,10000.0,0,0,4.99
100,10000.0,0,0,4.99
75,10000.0,0,0,4.99
45,10000.0,0,0,4.99
92,10000.0,0,0,4.99
80,350000.0,10,10,2.99
78,10000.0,49,49,1.49
90,150000.0,31,31,1.99
71,10000.0,0,0,14.99
64,35000.0,5,5,7.99
86,10000.0,0,0,14.99
90,10000.0,0,0,6.99
91,10000.0,0,0,6.99
84,10000.0,0,0,6.99
100,10000.0,0,0,6.99
100,10000.0,0,0,6.99
